company_sk,idempresa,empresa
1,ACO,Petrolera Aconcagua Energia S.A.
2,AESA,ARGENTA ENERGIA S.A.
3,AME,AMERICAS PETROGAS ARGENTINA S.A.
4,ANAR,CROWN POINT ENERGIA S.A.
5,APEA,APACHE ENERGIA ARGENTINA S.R.L.
6,APGA,APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA)
7,APS,CAPEX S.A.
8,BEN,BENTIA ENERGY S.A.
9,CG1,CGC ENERGIA SAU
10,CGC,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.
11,CHE,CHEVRON ARGENTINA S.R.L.
12,CNA,CAPETROL ARGENTINA S.A.
13,CRA,CONTINENTAL RESOURCES ARGENTINA SAU.
14,EMEA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.
15,ENE1,ENERGICON S.A.
16,FXS,FLXS OGE S.A
17,GAL,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA)
18,GEA,GEOPARK ARGENTINA S.A.
19,GGO,G Y G OIL SERVICE SRL
20,GPNE,GAS Y PETROLEO DEL NEUQUEN S.A.
21,GREC,GRECOIL y CIA. S.R.L.
22,GTIE,MADALENA ENERGY ARGENTINA SRL
23,KILW,KILWER S.A.
24,MAD,MADALENA AUSTRAL S.A.
25,MSA,MEDANITO S.A.
26,OGDV,O&G DEVELOPMENTS LTD S.A.
27,OILS,OILSTONE ENERGIA S.A.
28,PAE,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC
29,PAL,PAN AMERICAN ENERGY SL
30,PAM,PAMPA ENERGIA S.A.
31,PBE,PETROBRAS ARGENTINA S.A.
32,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.
33,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.
34,PEL,PETROLERA ENTRE LOMAS S.A.
35,PES,PATAGONIA ENERGY S.A.
36,PGR,PHOENIX GLOBAL RESOURCES S.A.
37,PLU,PLUSPETROL S.A.
38,PPSA,PRESIDENT PETROLEUM S.A.
39,PSE,PECOM SERVICIOS ENERGIA SAU
40,PTRE,PETROLERA EL TREBOL S.A.
41,QUIN,QUINTANA E&P ARGENTINA S.R.L.
42,ROC,ROCH S.A.
43,SHE,SHELL ARGENTINA S.A.
44,TAN,TANGO ENERGY ARGENTINA S.A.
45,TAU,TOTAL AUSTRAL S.A.
46,TPT,TECPETROL S.A.
47,VIS,VISTA OIL & GAS ARGENTINA SAU
48,VMI,VACA MUERTA INVERSIONES SAU
49,VNO,VENOIL S.A.
50,VOG,Vista Oil & Gas Argentina SA
51,VST,VISTA ENERGY ARGENTINA SAU
52,WDA,WINTERSHALL DEA ARGENTINA S.A
53,WIN,WINTERSHALL ENERGIA S.A.
54,YPF,YPF S.A.
55,YSUR,YSUR ENERGÍA ARGENTINA S.R.L.
