location_sk,provincia,cuenca,areayacimiento
1,Chubut,GOLFO SAN JORGE,EL TORDILLO
2,Chubut,GOLFO SAN JORGE,EL TREBOL
3,Chubut,GOLFO SAN JORGE,RIO CHICO
4,Mendoza,NEUQUINA,CN VII A
5,Mendoza,NEUQUINA,MALAL DEL MEDIO
6,Mendoza,NEUQUINA,PASO DE LAS BARDAS NORTE
7,Mendoza,NEUQUINA,PAYUN OESTE
8,Mendoza,NEUQUINA,PUESTO ROJAS
9,Mendoza,NEUQUINA,RIO ATUEL
10,Mendoza,NEUQUINA,VEGA GRANDE
11,Neuquén,NEUQUINA,AGUA DE AFUERA
12,Neuquén,NEUQUINA,AGUA DEL CAJON
13,Neuquén,NEUQUINA,AGUADA CÁNEPA
14,Neuquén,NEUQUINA,AGUADA DE CASTRO
15,Neuquén,NEUQUINA,AGUADA DE LA ARENA
16,Neuquén,NEUQUINA,AGUADA DEL CHIVATO
17,Neuquén,NEUQUINA,AGUADA DEL PONCHO
18,Neuquén,NEUQUINA,AGUADA FEDERAL
19,Neuquén,NEUQUINA,AGUADA LOS LOROS
20,Neuquén,NEUQUINA,AGUADA PICHANA ESTE MULICHINCO
21,Neuquén,NEUQUINA,AGUADA PICHANA ESTE VACA MUERTA
22,Neuquén,NEUQUINA,AGUADA PICHANA OESTE
23,Neuquén,NEUQUINA,AGUADA SAN ROQUE
24,Neuquén,NEUQUINA,AGUADA VILLANUEVA
25,Neuquén,NEUQUINA,AGUILA MORA
26,Neuquén,NEUQUINA,ANTICLINAL CAMPAMENTO
27,Neuquén,NEUQUINA,ANTICLINAL CAMPAMENTO OESTE
28,Neuquén,NEUQUINA,ANTICLINAL CAMPAMENTO SUR
29,Neuquén,NEUQUINA,BAJADA DE AÑELO
30,Neuquén,NEUQUINA,BAJADA DEL PALO
31,Neuquén,NEUQUINA,BAJADA DEL PALO ESTE
32,Neuquén,NEUQUINA,BAJADA DEL PALO OESTE
33,Neuquén,NEUQUINA,BAJO DEL CHOIQUE
34,Neuquén,NEUQUINA,BAJO DEL TORO
35,Neuquén,NEUQUINA,BAJO DEL TORO NORTE
36,Neuquén,NEUQUINA,BAJO GUANACO
37,Neuquén,NEUQUINA,BANDURRIA CENTRO
38,Neuquén,NEUQUINA,BANDURRIA NORTE
39,Neuquén,NEUQUINA,BANDURRIA SUR
40,Neuquén,NEUQUINA,BARDA GONZALEZ
41,Neuquén,NEUQUINA,BARREALES COLORADOS
42,Neuquén,NEUQUINA,BARROSA NORTE
43,Neuquén,NEUQUINA,BORDE MONTUOSO
44,Neuquén,NEUQUINA,CAMPAMENTO DOS
45,Neuquén,NEUQUINA,CENTENARIO CENTRO
46,Neuquén,NEUQUINA,CERRO ARENA
47,Neuquén,NEUQUINA,CERRO AVISPA
48,Neuquén,NEUQUINA,CERRO LAS MINAS
49,Neuquén,NEUQUINA,CERRO LAS NIÑAS
50,Neuquén,NEUQUINA,CERRO PARTIDO
51,Neuquén,NEUQUINA,CHALLACO
52,Neuquén,NEUQUINA,CHIHUIDO DE LA SIERRA NEGRA
53,Neuquén,NEUQUINA,COIRON AMARGO SUR ESTE
54,Neuquén,NEUQUINA,COIRON AMARGO SUR OESTE
55,Neuquén,NEUQUINA,CORRALERA NORESTE
56,Neuquén,NEUQUINA,CORRALERA SUR
57,Neuquén,NEUQUINA,CORTADERA
58,Neuquén,NEUQUINA,CRUZ DE LORENA
