well_sk,idpozo,tipopozo,tipo_de_recurso,provincia,cuenca,areayacimiento,sigla,formprod,profundidad,coordenadax,coordenaday,clasificacion,subclasificacion,tipo_reservorio,subtipo_reservorio,is_present_in_wells_catalog
1,10073,Gasífero,NO CONVENCIONAL,Rio Negro,NEUQUINA,LOMA DE MARÍA,CSJ.RN.LMa.a-3,LAJA,3850.0,-67.67098,-38.83196,EXPLOTACION,AVANZADA,NO CONVENCIONAL,TIGHT,True
2,11191,Gasífero,NO CONVENCIONAL,Santa Cruz,AUSTRAL,CAMPO INDIO,Q.SC.ACI-21,MAGA,3186.0,-70.71132707,-50.80490273,,,NO CONVENCIONAL,TIGHT,True
3,114867,Gasífero,NO CONVENCIONAL,Neuquén,NEUQUINA,CUPEN MAHUIDA,YPF.Nq.CuM.a-8,PREC,3809.0,-68.89819796,-38.73504727,EXPLOTACION,AVANZADA,NO CONVENCIONAL,TIGHT,True
4,114880,Gasífero,NO CONVENCIONAL,Neuquén,NEUQUINA,CUPEN MAHUIDA,YPF.Nq.CuM.a-3,PREC,3600.0,-68.89512386,-38.74282273,EXPLOTACION,AVANZADA,NO CONVENCIONAL,TIGHT,True
5,114888,Gasífero,NO CONVENCIONAL,Neuquén,NEUQUINA,CUPEN MAHUIDA,YPF.Nq.CuM.e-5(I),LAJA,3970.0,-68.8267,-38.76049634,EXPLORACION,EXTENSION,NO CONVENCIONAL,TIGHT,True
6,114889,Gasífero,NO CONVENCIONAL,Neuquén,NEUQUINA,CUPEN MAHUIDA,YPF.Nq.CuM.e-5(I),PREC,3970.0,-68.8267,-38.76049634,EXPLORACION,EXTENSION,NO CONVENCIONAL,TIGHT,True
7,115664,Petrolífero,NO CONVENCIONAL,Neuquén,NEUQUINA,SIERRA BARROSA,YPF.Nq.NG-66,LOTE,2053.0,-68.92997708,-38.76508988,EXPLOTACION,DESARROLLO,NO CONVENCIONAL,TIGHT,True
8,115725,Gasífero,NO CONVENCIONAL,Neuquén,NEUQUINA,RINCON DEL MANGRULLO,YPF.Nq.RDM.a-6,MULI,1803.0,-69.363490648,-38.5735121806,EXPLOTACION,AVANZADA,NO CONVENCIONAL,TIGHT,True
9,115728,Otro tipo,NO CONVENCIONAL,Neuquén,NEUQUINA,RINCON DE PIEDRA,YPF.Nq.RDP.x-1,MULI,1820.0,-69.36339182,-38.61521714,EXPLORACION,EXPLORACION,NO CONVENCIONAL,TIGHT,True
10,115733,Gasífero,NO CONVENCIONAL,Neuquén,NEUQUINA,RINCON DEL MANGRULLO,YPF.Nq.RDM-4,MULI,2000.0,-69.28680323,-38.54595112,EXPLOTACION,DESARROLLO,NO CONVENCIONAL,TIGHT,True
11,115734,Gasífero,NO CONVENCIONAL,Neuquén,NEUQUINA,RINCON DEL MANGRULLO,YPF.Nq.RDM-5,MULI,2002.0,-69.28736508,-38.55514662,EXPLOTACION,DESARROLLO,NO CONVENCIONAL,TIGHT,True
12,115744,Gasífero,NO CONVENCIONAL,Neuquén,NEUQUINA,RINCON DEL MANGRULLO,YPF.Nq.RDM.x-3,MULI,2000.0,-69.2757212,-38.55044313,EXPLORACION,EXPLORACION,NO CONVENCIONAL,TIGHT,True
